Time,Open,High,Low,Close,Volume
2022.06.03 04:00,94.268,94.301,94.106,94.181,4621.000
2022.06.03 03:00,94.398,94.572,94.259,94.268,5077.000
2022.06.03 02:00,94.382,94.461,94.370,94.399,2236.000
2022.06.03 01:00,94.338,94.394,94.320,94.383,1541.000
2022.06.03 00:00,94.322,94.360,94.316,94.338,2213.000
2022.06.02 23:00,94.359,94.379,94.297,94.370,1747.000
2022.06.02 22:00,94.207,94.381,94.201,94.362,3309.000
2022.06.02 21:00,94.312,94.376,94.201,94.202,3588.000
2022.06.02 20:00,94.196,94.337,94.164,94.313,3982.000
2022.06.02 19:00,94.157,94.218,94.131,94.198,4072.000
2022.06.02 18:00,93.922,94.226,93.905,94.157,5094.000
2022.06.02 17:00,93.794,94.086,93.769,93.921,8136.000
2022.06.02 16:00,93.649,93.875,93.530,93.796,7754.000
2022.06.02 15:00,93.482,93.706,93.433,93.649,6800.000
2022.06.02 14:00,93.400,93.508,93.350,93.482,4124.000
2022.06.02 13:00,93.306,93.428,93.257,93.400,3331.000
2022.06.02 12:00,93.419,93.466,93.247,93.305,3374.000
2022.06.02 11:00,93.313,93.446,93.264,93.419,3322.000
2022.06.02 10:00,93.235,93.360,93.194,93.310,4991.000
2022.06.02 09:00,93.053,93.270,93.018,93.235,4316.000
2022.06.02 08:00,93.176,93.236,92.843,93.053,4339.000
2022.06.02 07:00,93.209,93.235,93.112,93.176,2295.000
2022.06.02 06:00,93.197,93.320,93.171,93.209,3325.000
2022.06.02 05:00,93.191,93.302,93.034,93.199,4286.000
2022.06.02 04:00,93.291,93.335,93.185,93.191,5007.000
2022.06.02 03:00,93.323,93.364,93.124,93.291,5397.000
2022.06.02 02:00,93.349,93.439,93.314,93.320,2323.000
2022.06.02 01:00,93.373,93.418,93.336,93.351,1298.000
2022.06.02 00:00,93.368,93.460,93.305,93.378,679.000
2022.06.01 23:00,93.410,93.474,93.342,93.382,1998.000
2022.06.01 22:00,93.542,93.602,93.404,93.410,4124.000
2022.06.01 21:00,93.498,93.617,93.452,93.542,4958.000
2022.06.01 20:00,93.304,93.549,93.266,93.499,5033.000
2022.06.01 19:00,93.180,93.364,93.099,93.307,5724.000
2022.06.01 18:00,93.403,93.415,93.075,93.181,7401.000
2022.06.01 17:00,93.313,93.465,93.061,93.402,8905.000
2022.06.01 16:00,93.393,93.569,93.283,93.312,6756.000
2022.06.01 15:00,93.226,93.456,93.174,93.393,5264.000
2022.06.01 14:00,93.069,93.263,93.066,93.226,4380.000
2022.06.01 13:00,93.078,93.129,93.009,93.070,3683.000
2022.06.01 12:00,92.983,93.102,92.943,93.077,3907.000
2022.06.01 11:00,92.968,93.000,92.825,92.982,5653.000
2022.06.01 10:00,92.796,93.106,92.770,92.967,6653.000
2022.06.01 09:00,92.629,92.815,92.580,92.793,5103.000
2022.06.01 08:00,92.640,92.707,92.560,92.627,4021.000
2022.06.01 07:00,92.717,92.760,92.422,92.637,3704.000
2022.06.01 06:00,92.695,92.752,92.619,92.718,3334.000
2022.06.01 05:00,92.740,92.797,92.602,92.695,4415.000
2022.06.01 04:00,92.686,92.869,92.587,92.740,5758.000
2022.06.01 03:00,92.468,92.740,92.446,92.686,5059.000
2022.06.01 02:00,92.470,92.492,92.362,92.465,2187.000
2022.06.01 01:00,92.324,92.502,92.310,92.470,1976.000
2022.06.01 00:00,92.221,92.350,92.221,92.338,186.000
2022.05.31 23:00,92.365,92.406,92.331,92.370,2615.000
2022.05.31 22:00,92.317,92.459,92.256,92.363,6306.000
2022.05.31 21:00,92.496,92.517,92.271,92.317,4724.000
2022.05.31 20:00,92.381,92.526,92.265,92.496,4671.000
2022.05.31 19:00,92.360,92.448,92.285,92.381,5104.000
2022.05.31 18:00,92.268,92.416,92.142,92.360,7127.000
2022.05.31 17:00,92.336,92.430,92.193,92.266,8716.000
2022.05.31 16:00,91.989,92.422,91.980,92.348,7816.000
